Kunta,index,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,x,y,Nimi2,Nr
Espoo,Merituulentie (DSL10),6.1138613861386135,4.522388059701493,4.214634146341464,3.5784313725490198,4.495238095238095,9.504761904761905,37.28169014084507,63.246511627906976,57.51162790697674,28.314553990610328,21.90232558139535,25.96759259259259,28.24074074074074,30.51152073732719,37.97235023041475,58.04147465437788,80.05990783410138,69.55760368663594,51.80555555555556,38.54838709677419,32.02347417840375,19.373205741626794,11.212264150943396,9.298076923076923,6671916.0,25482907.0,Martinsillantie,22
Espoo,Olarinkatu (Eco-Counter),2.548523206751055,1.1561181434599157,0.759493670886076,0.6708860759493671,0.7890295358649789,2.413502109704641,9.51054852320675,26.10548523206751,32.93248945147679,24.341772151898734,23.244725738396625,27.52742616033755,34.22362869198312,33.53586497890296,36.09282700421941,39.345991561181435,48.35294117647059,43.09243697478992,39.357142857142854,34.13865546218487,25.705882352941178,17.222689075630253,8.579831932773109,3.6638655462184873,6673128.0,25486530.0,Merituulentie,23
Espoo,"Otaniemi, Otaranta (Viacount)",5.6,6.6,3.2,2.0,3.8,10.2,21.0,30.4,74.0,36.6,33.2,45.0,40.6,47.0,62.2,88.2,101.2,107.0,94.8,109.8,94.6,54.6,28.2,14.0,6673083.0,25485174.0,Olarinkatu (Eco-counter) ,24
Espoo,"Paivankestamonpolku, Kera (Eco-Counter)",1.3464912280701755,0.5043859649122807,0.3991228070175439,0.9824561403508771,0.9605263157894737,2.956140350877193,10.12280701754386,22.75438596491228,18.81140350877193,7.087719298245614,5.206140350877193,6.4035087719298245,6.302631578947368,6.890829694323144,9.829694323144105,16.851528384279476,23.768558951965066,19.09170305676856,12.362445414847162,8.611353711790393,5.842794759825328,4.0,1.611353711790393,0.9388646288209607,6674433.0,25490910.0,Otaniemi,25
Espoo,Pitkajarventie (DSL10),2.9243027888446216,1.762,1.095808383233533,0.6972111553784861,0.7544204322200393,5.314341846758349,17.363457760314343,26.26522593320236,16.403131115459882,10.954990215264187,11.509765625,13.984344422700588,13.226120857699804,13.97270955165692,15.869140625,23.9375,31.94313725490196,27.263779527559056,23.396825396825395,19.950396825396826,16.581349206349206,11.119284294234593,6.834661354581673,4.063618290258449,6682359.0,25487568.0,Pitkäjärventie,26
Espoo,Pohjantien ylikulku (DSL10),2.2216216216216216,0.9,0.7567567567567568,0.7675675675675676,1.7073170731707317,5.5257452574525745,30.07859078590786,55.06775067750677,63.799457994579946,43.357723577235774,39.21195652173913,48.45283018867924,49.35054347826087,52.55826558265583,56.8970189701897,75.08130081300813,90.27371273712737,79.72628726287263,62.02981029810298,49.387533875338754,34.00813008130081,16.089673913043477,7.336956521739131,4.391304347826087,6673592.0,25488943.0,Pohjantien ylikulku,27
Espoo,Pohjantien ylikulku (Eco-Counter),2.1050420168067228,0.7205882352941176,0.5630252100840336,0.44537815126050423,1.8046218487394958,4.222689075630252,22.0,48.55252100840336,65.53571428571429,42.37735849056604,34.0,42.55765199161426,44.264150943396224,49.84486373165618,58.79454926624738,69.92662473794549,84.93920335429769,74.34381551362684,59.937106918238996,48.457023060796644,32.9832285115304,18.536687631027252,7.515723270440252,3.89937106918239,6678235.0,25486566.0,"Päivänkestämönpolku, Kera (eco-counter)",28
Espoo,Pohjantien ylikulku (Viacount 2),1.4,0.2,0.2,2.2,5.8,30.0,40.2,43.0,35.0,21.6,30.4,29.6,37.4,41.4,86.8,88.2,79.8,54.4,51.6,40.8,19.8,7.4,4.0,2.8,6679003.0,25491669.0,"Rantaradanraitti, Helsingin raja",29
Espoo,"Rantaradanraitti, Helsingin raja (Viacount 2)",0.5714285714285714,0.2857142857142857,0.0,1.0714285714285714,5.214285714285714,28.642857142857142,60.642857142857146,69.42857142857143,38.357142857142854,12.214285714285714,11.928571428571429,13.357142857142858,18.357142857142858,26.642857142857142,70.14285714285714,98.35714285714286,89.57142857142857,60.07142857142857,36.714285714285715,26.928571428571427,22.571428571428573,9.428571428571429,4.571428571428571,1.7857142857142858,6668766.0,25481315.0,Soukka,30
Espoo,Soukka (Viacount),0.0,0.0,0.2,0.0,0.0,0.4,1.2,4.0,3.4,3.0,5.6,8.2,7.6,10.6,9.0,11.6,14.8,16.2,19.8,19.2,16.0,6.4,0.8,0.0,6671530.0,25484766.0,Suomenlahdentie (Eco-counter),31
